,Unnamed: 0,Date,Total tested,Total cases,Total deaths,Total recovered,Newly tested,New cases,New deaths,Newly recovered,Days since first confirmed cases,Positivity rate,Positivity rate SMA7,Death case ratio,Cases Normalised,Tests Normalised,Daily Tests SMA3,Daily Cases SMA3,Daily Deaths SMA3,Daily Tests SMA7,Daily Cases SMA7,Daily Deaths SMA7,Daily Recoveries SMA7
98,98,2020-06-16,533717.0,94481.0,1262.0,36264.0,17214.0,3862.0,53.0,2237.0,100,0.22435227140699432,0.20536909810200263,0.013357182925667595,0.0026560424966799467,0.002002643666473623,15585.666666666666,3367.3333333333335,41.0,15874.57142857143,3258.0,41.0,2989.5714285714284
99,99,2020-06-17,551244.0,98489.0,1305.0,38189.0,17527.0,4008.0,43.0,1925.0,101,0.22867575740286417,0.2094924793103309,0.013250210683426576,0.0027564521819506025,0.002039057484738189,16593.0,3656.3333333333335,44.666666666666664,16097.714285714286,3374.8571428571427,41.857142857142854,3184.1428571428573
100,100,2020-06-18,567503.0,102292.0,1343.0,40164.0,16259.0,3803.0,38.0,1975.0,102,0.23390122393751153,0.2140402321448517,0.01312908145309506,0.0026154659800294764,0.0018915408024395629,17000.0,3891.0,44.666666666666664,16167.285714285714,3462.8571428571427,42.0,3345.285714285714
101,101,2020-06-19,582548.0,105535.0,1388.0,42945.0,15045.0,3243.0,45.0,2781.0,103,0.21555333998005982,0.2138231134660449,0.013152034869948358,0.0022303329406351807,0.0017503063763271557,16277.0,3684.6666666666665,42.0,16032.285714285714,3430.285714285714,41.857142857142854,3670.8571428571427
102,102,2020-06-20,596579.0,108775.0,1425.0,43993.0,14031.0,3240.0,37.0,1048.0,104,0.23091725465041693,0.22228911455540692,0.013100436681222707,0.00222826972792414,0.0016323395657192635,15111.666666666666,3428.6666666666665,40.0,15659.857142857143,3485.1428571428573,40.857142857142854,3738.0
103,103,2020-06-21,612164.0,112306.0,1464.0,45077.0,15585.0,3531.0,39.0,1084.0,105,0.22656400384985564,0.22372025530334763,0.013035812868413085,0.0024284013608951043,0.0018131289381893467,14887.0,3338.0,40.333333333333336,15814.142857142857,3540.8571428571427,41.857142857142854,3763.8571428571427
104,104,2020-06-22,627719.0,115786.0,1502.0,46755.0,15555.0,3480.0,38.0,1678.0,106,0.22372227579556414,0.2262408752890381,0.012972207348038623,0.002393326744807409,0.0018096387958636694,15057.0,3417.0,38.0,15888.0,3595.285714285714,41.857142857142854,1818.2857142857142
105,105,2020-06-23,644011.0,119198.0,1545.0,47635.0,16292.0,3412.0,43.0,880.0,107,0.20942794009329732,0.22410882795850995,0.012961626872934109,0.0023465605900238164,0.001895379958997808,15810.666666666666,3474.3333333333335,40.0,15756.285714285714,3531.0,40.42857142857143,1624.4285714285713
106,106,2020-06-24,660444.0,122660.0,1582.0,49666.0,16433.0,3462.0,37.0,2031.0,108,0.21067364449583156,0.22153709754321957,0.012897440078265123,0.002380947468541164,0.0019117836279284911,16093.333333333334,3451.3333333333335,39.333333333333336,15600.0,3453.0,39.57142857142857,1639.5714285714287
107,107,2020-06-25,678443.0,126606.0,1621.0,51495.0,17999.0,3946.0,39.0,1829.0,109,0.2192344019112173,0.21944183725374897,0.012803500623983066,0.002713812452589091,0.002093969057328845,16908.0,3606.6666666666665,39.666666666666664,15848.57142857143,3473.4285714285716,39.714285714285715,1618.7142857142858
108,108,2020-06-26,696941.0,130474.0,1661.0,53133.0,18498.0,3868.0,40.0,1638.0,110,0.20910368688506867,0.2185204582401788,0.01273050569462115,0.0026601689221020285,0.0021520217580126106,17643.333333333332,3758.6666666666665,38.666666666666664,16341.857142857143,3562.714285714286,39.0,1455.4285714285713
109,109,2020-06-27,712098.0,133978.0,1695.0,54318.0,15157.0,3504.0,34.0,1185.0,111,0.2311803127267929,0.21855803796537535,0.012651330815507024,0.0024098324464957364,0.0017633362410096841,17218.0,3772.6666666666665,37.666666666666664,16502.714285714286,3600.4285714285716,38.57142857142857,1475.0
110,110,2020-06-28,730197.0,137787.0,1738.0,55727.0,18099.0,3809.0,43.0,1409.0,112,0.2104536162218907,0.21625655401852323,0.012613671826805142,0.002619592405451558,0.002105602865081103,17251.333333333332,3727.0,39.0,16861.85714285714,3640.1428571428573,39.142857142857146,1521.4285714285713
111,111,2020-06-29,748034.0,141801.0,1783.0,57780.0,17837.0,4014.0,45.0,2053.0,113,0.22503784268655042,0.216444492145807,0.012573959280964168,0.0027605786073726843,0.002075122288770188,17031.0,3775.6666666666665,40.666666666666664,17187.85714285714,3716.4285714285716,40.142857142857146,1575.0
112,112,2020-06-30,766460.0,145483.0,1847.0,59624.0,18426.0,3682.0,64.0,1844.0,114,0.19982633235645283,0.21507283389768633,0.012695641415148161,0.0025322497340174947,0.002143645416430985,18120.666666666668,3835.0,50.666666666666664,17492.714285714286,3755.0,43.142857142857146,1712.7142857142858
113,113,2020-07-01,784335.0,149258.0,1888.0,62108.0,17875.0,3775.0,41.0,2484.0,115,0.2111888111888112,0.21514642913954057,0.012649238231786571,0.0025962093280597616,0.0020795431357160457,18046.0,3823.6666666666665,50.0,17698.714285714286,3799.714285714286,43.714285714285715,1777.4285714285713
114,114,2020-07-02,802697.0,153277.0,1926.0,66442.0,18362.0,4019.0,38.0,4334.0,116,0.21887593944014813,0.21509522021510213,0.012565486015514396,0.0027640172952244193,0.00213619977946954,18221.0,3825.3333333333335,47.666666666666664,17750.571428571428,3810.1428571428573,43.57142857142857,2135.285714285714
115,115,2020-07-03,817347.0,156391.0,1968.0,68048.0,14650.0,3114.0,42.0,1606.0,117,0.21255972696245734,0.21558894022615765,0.012583844338868605,0.0021416147940604233,0.0017043528357057382,16962.333333333332,3636.0,40.333333333333336,17200.85714285714,3702.4285714285716,43.857142857142854,2130.714285714286
116,116,2020-07-04,832074.0,159679.0,1997.0,70721.0,14727.0,3288.0,29.0,2673.0,118,0.22326339376655124,0.21445795180326602,0.012506340846322935,0.0022612811313007936,0.0017133108676749766,15913.0,3473.6666666666665,36.333333333333336,17139.428571428572,3671.5714285714284,43.142857142857146,2343.285714285714
117,117,2020-07-05,846062.0,162417.0,2052.0,72625.0,13988.0,2738.0,55.0,1904.0,119,0.19573920503288533,0.2123558930619795,0.012634145440440349,0.0018830254676099674,0.0016273370283857928,14455.0,3046.6666666666665,42.0,16552.14285714286,3518.5714285714284,44.857142857142854,2414.0
118,118,2020-07-06,860307.0,165618.0,2096.0,76149.0,14245.0,3201.0,44.0,3524.0,120,0.2247104247104247,0.21230911906539013,0.01265562921904624,0.0022014479626806084,0.001657235914309095,14320.0,3075.6666666666665,42.666666666666664,16039.0,3402.4285714285716,44.714285714285715,2624.1428571428573
119,119,2020-07-07,873480.0,168645.0,2151.0,78102.0,13173.0,3027.0,55.0,1953.0,121,0.22978820314279208,0.21658938632058145,0.01275460286400427,0.0020817816254402382,0.0015325214952048934,13802.0,2988.6666666666665,51.333333333333336,15288.57142857143,3308.8571428571427,43.42857142857143,2639.714285714286
120,120,2020-07-08,889152.0,172134.0,2197.0,80838.0,15672.0,3489.0,46.0,2736.0,122,0.22262633996937212,0.2182233190035187,0.012763312303205642,0.002399516382940532,0.0018232503509338109,14363.333333333334,3239.0,48.333333333333336,14973.857142857143,3268.0,44.142857142857146,2675.714285714286
121,121,2020-07-09,904784.0,175494.0,2238.0,84544.0,15632.0,3360.0,41.0,3706.0,123,0.21494370522006143,0.21766157125779204,0.012752572737529487,0.002310798236365775,0.0018185968278329077,14825.666666666666,3292.0,47.333333333333336,14583.857142857143,3173.8571428571427,44.57142857142857,2586.0
122,122,2020-07-10,918272.0,178443.0,2275.0,86406.0,13488.0,2949.0,37.0,1862.0,124,0.2186387900355872,0.21853000883966775,0.012749169202490432,0.002028138094953175,0.001569167989624505,14930.666666666666,3266.0,41.333333333333336,14417.857142857143,3150.285714285714,43.857142857142854,2622.5714285714284
123,123,2020-07-11,929465.0,181129.0,2305.0,88034.0,11193.0,2686.0,30.0,1628.0,125,0.23997141070311803,0.2209168684020344,0.012725736905741213,0.0018472631139519258,0.001302172101710193,13437.666666666666,2998.3333333333335,36.0,13913.0,3064.285714285714,44.0,2473.285714285714
124,124,2020-07-12,940524.0,183795.0,2352.0,93614.0,11059.0,2666.0,47.0,5580.0,126,0.24107062121349127,0.22739278499926385,0.012796866073614625,0.0018335083625449866,0.0012865827993221678,11913.333333333334,2767.0,38.0,13494.57142857143,3054.0,42.857142857142854,2998.4285714285716
125,125,2020-07-13,952947.0,186894.0,2391.0,98317.0,12423.0,3099.0,39.0,4703.0,127,0.2494566529823714,0.2309279604666848,0.012793348101062635,0.002131298730505219,0.0014452679370629614,11558.333333333334,2817.0,38.666666666666664,13234.285714285714,3039.4285714285716,42.142857142857146,3166.8571428571427
