,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
0,1.0,,District/City,Total Cases in District,Total,Updated Date,,01 September 2020,02 September 2020,03 September 2020,04 September 2020,05 September 2020,06 September 2020,07 September 2020,08 September 2020,09 September 2020,10 September 2020,11 September 2020,12 September 2020,13 September 2020,14 September 2020,15 September 2020,16 September 2020,17 September 2020,18 September 2020,19 September 2020,20 September 2020,21 September 2020,22 September 2020,23 September 2020,24 September 2020,25 September 2020,26 September 2020,27 September 2020,28 September 2020,30 September 2020
10,10.0,Dhaka,Narshingdi,2290,138900,24.09.2020,,12,21,13,6,31,5,18,9,39,3,2,13,4,3,2,2,4,4,4,2,5,4,3,6,14,7,,,
11,11.0,Dhaka,Rajbari,3031,138900,21.09.2020,,0,50,0,55,32,51,18,0,28,22,21,22,5,13,0,16,11,13,11,9,20,0,6,9,11,7,,,
12,12.0,Dhaka,Faridpur,7095,138900,21.09.2020,,60,94,33,42,28,1,34,70,35,21,34,44,14,31,10,15,34,17,20,10,22,19,12,19,29,12,,,
13,13.0,Dhaka,Tangail,3073,138900,26.09.2020,,11,53,22,45,36,1,40,20,24,8,27,5,0,26,16,22,5,30,15,0,17,6,17,11,22,0,,,
14,14.0,Dhaka,Shariatpur,1675,138900,24.09.2020,,7,0,11,0,11,0,14,0,8,0,11,0,13,0,17,0,13,0,6,0,0,0,18,0,5,0,,,
15,15.0,Dhaka,Gopalganj,2549,138900,26.09.2020,,33,0,0,0,23,11,36,9,13,8,10,11,6,8,0,21,8,4,2,1,4,4,4,0,7,6,,,
16,16.0,Chattogram,Chattogram,18613,46667,26.09.2020,,58,82,107,63,61,22,71,74,54,53,53,49,51,75,73,76,43,67,60,25,52,56,77,63,53,43,,,
17,17.0,Chattogram,Cox’s bazar,4671,46667,26.09.2020,,14,27,38,9,25,19,25,32,47,48,11,32,17,33,23,16,18,12,26,47,12,26,38,29,10,17,,,
18,18.0,Chattogram,Comilla,7420,46667,26.09.2020,,41,13,33,18,16,26,35,32,34,28,18,19,25,37,31,21,18,20,16,21,17,22,17,26,26,16,,,
19,19.0,Chattogram,B. Baria,2438,46667,26.09.2020,,13,0,0,23,0,37,0,9,0,0,7,16,1,8,4,0,7,1,0,4,7,5,0,1,9,0,,,
20,20.0,Chattogram,Khagrachari,677,46667,26.09.2020,,8,0,0,7,0,0,5,0,5,0,4,0,2,0,0,6,0,2,0,2,0,0,0,2,8,0,,,
21,21.0,Chattogram,Laksmipur,2118,46667,26.09.2020,,15,22,19,11,15,0,9,17,9,3,4,5,0,7,0,19,5,2,0,6,6,0,4,6,4,5,,,
22,22.0,Chattogram,Bandarban,770,46667,26.09.2020,,2,2,5,9,1,1,1,2,5,3,0,6,8,6,6,4,0,0,7,1,0,8,2,2,2,2,,,
23,23.0,Chattogram,Rangamati,894,46667,26.09.2020,,0,9,6,4,1,0,4,4,3,3,1,1,1,3,3,2,5,2,1,0,3,2,1,5,0,1,,,
24,24.0,Chattogram,Noakhali,4944,46667,26.09.2020,,16,52,31,42,21,7,23,9,28,17,14,18,3,18,7,18,10,10,10,0,9,12,6,13,12,7,,,
25,25.0,Chattogram,Feni,1840,46667,26.09.2020,,10,0,10,12,1,17,8,18,4,8,5,5,0,10,4,8,4,7,4,0,7,6,8,3,10,1,,,
26,26.0,Chattogram,Chandpur,2282,46667,26.09.2020,,3,9,2,11,3,1,6,9,5,4,3,8,4,6,7,7,8,3,9,6,7,8,5,5,14,2,,,
27,27.0,Sylhet,Sylhet,6713,12423,23.09.2020,,40,53,41,62,62,49,66,65,37,64,53,48,32,48,38,28,37,35,29,14,34,38,27,,,,,,
28,28.0,Sylhet,Sunamganj,2304,12423,23.09.2020,,18,11,18,13,15,10,19,9,5,20,2,27,8,29,8,0,19,8,6,1,6,3,2,,,,,,
29,29.0,Sylhet,Hobiganj,1730,12423,23.09.2020,,23,10,8,19,1,9,5,0,6,18,9,11,0,12,0,19,8,3,8,1,8,6,7,,,,,,
30,30.0,Sylhet,Moulvibazar,1676,12423,23.09.2020,,0,3,25,4,11,11,9,6,8,9,14,16,0,0,0,16,15,2,6,0,5,0,8,,,,,,
